student_group,metric,school_year,subject,students_available
STEP UP,STAR,2022-23,Math,186
STEP UP,STAR,2022-23,Reading,186
STEP UP,STAR,2023-24,Math,175
STEP UP,STAR,2023-24,Reading,183
STEP UP,STAR,2024-25,Math,141
STEP UP,STAR,2024-25,Reading,141
STEP UP,Attendance,2022-23,Attendance,204
STEP UP,Attendance,2023-24,Attendance,204
STEP UP,Attendance,2024-25,Attendance,141
STEP UP,CAASPP,2022-23,ELA,177
STEP UP,CAASPP,2022-23,Math,177
STEP UP,CAASPP,2023-24,ELA,153
STEP UP,CAASPP,2023-24,Math,147
Non-STEP UP,STAR,2022-23,Math,185
Non-STEP UP,STAR,2022-23,Reading,184
Non-STEP UP,STAR,2023-24,Math,185
Non-STEP UP,STAR,2023-24,Reading,191
Non-STEP UP,STAR,2024-25,Math,1496
Non-STEP UP,STAR,2024-25,Reading,1367
Non-STEP UP,Attendance,2022-23,Attendance,217
Non-STEP UP,Attendance,2023-24,Attendance,217
Non-STEP UP,Attendance,2024-25,Attendance,1548
Non-STEP UP,CAASPP,2022-23,ELA,173
Non-STEP UP,CAASPP,2022-23,Math,173
Non-STEP UP,CAASPP,2023-24,ELA,550
Non-STEP UP,CAASPP,2023-24,Math,522
All,STAR,2022-23,Math,371
All,STAR,2022-23,Reading,370
All,STAR,2023-24,Math,360
All,STAR,2023-24,Reading,374
All,STAR,2024-25,Math,1637
All,STAR,2024-25,Reading,1508
All,Attendance,2022-23,Attendance,421
All,Attendance,2023-24,Attendance,421
All,Attendance,2024-25,Attendance,1689
All,CAASPP,2022-23,ELA,350
All,CAASPP,2022-23,Math,350
All,CAASPP,2023-24,ELA,703
All,CAASPP,2023-24,Math,669
