student_id,school_year,assessment,subject,score,school,grade_num,source_file,year_confidence,year_confidence_reason
2007801,2022-23,CAASPP,ELA,2560.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2009146,2022-23,CAASPP,ELA,2478.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2009815,2022-23,CAASPP,ELA,2429.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2010008,2022-23,CAASPP,ELA,2463.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2010013,2022-23,CAASPP,ELA,2597.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2010038,2022-23,CAASPP,ELA,2573.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2010721,2022-23,CAASPP,ELA,2514.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2010886,2022-23,CAASPP,ELA,2619.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2010956,2022-23,CAASPP,ELA,2480.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011010,2022-23,CAASPP,ELA,2565.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011093,2022-23,CAASPP,ELA,2467.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011122,2022-23,CAASPP,ELA,2462.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011129,2022-23,CAASPP,ELA,2379.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011162,2022-23,CAASPP,ELA,2605.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011242,2022-23,CAASPP,ELA,2501.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011321,2022-23,CAASPP,ELA,2586.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011339,2022-23,CAASPP,ELA,2710.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011410,2022-23,CAASPP,ELA,2505.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011411,2022-23,CAASPP,ELA,2483.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011435,2022-23,CAASPP,ELA,2517.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011542,2022-23,CAASPP,ELA,2413.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011578,2022-23,CAASPP,ELA,2543.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011706,2022-23,CAASPP,ELA,2534.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011750,2022-23,CAASPP,ELA,2580.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011751,2022-23,CAASPP,ELA,2453.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011767,2022-23,CAASPP,ELA,2412.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011768,2022-23,CAASPP,ELA,2423.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011779,2022-23,CAASPP,ELA,2487.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011806,2022-23,CAASPP,ELA,2399.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011858,2022-23,CAASPP,ELA,2424.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011859,2022-23,CAASPP,ELA,2487.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011889,2022-23,CAASPP,ELA,2455.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011896,2022-23,CAASPP,ELA,2370.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011949,2022-23,CAASPP,ELA,2260.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011977,2022-23,CAASPP,ELA,2413.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2012036,2022-23,CAASPP,ELA,2684.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2012274,2022-23,CAASPP,ELA,2296.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2012356,2022-23,CAASPP,ELA,2457.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2012520,2022-23,CAASPP,ELA,2537.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2012590,2022-23,CAASPP,ELA,2394.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2012600,2022-23,CAASPP,ELA,2558.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2012619,2022-23,CAASPP,ELA,2456.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2012650,2022-23,CAASPP,ELA,2609.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2012736,2022-23,CAASPP,ELA,2334.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2012746,2022-23,CAASPP,ELA,2457.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2012800,2022-23,CAASPP,ELA,2457.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2012854,2022-23,CAASPP,ELA,2418.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2012941,2022-23,CAASPP,ELA,2418.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2012980,2022-23,CAASPP,ELA,2677.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2013074,2022-23,CAASPP,ELA,2363.0,Longfellow Arts and Technology Middle,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2013113,2022-23,CAASPP,ELA,2496.0,Longfellow Arts and Technology Middle,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2013224,2022-23,CAASPP,ELA,2415.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2013231,2022-23,CAASPP,ELA,2463.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2013239,2022-23,CAASPP,ELA,2388.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2013295,2022-23,CAASPP,ELA,2361.0,Longfellow Arts and Technology Middle,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2013394,2022-23,CAASPP,ELA,2413.0,Longfellow Arts and Technology Middle,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2013474,2022-23,CAASPP,ELA,2366.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2013545,2022-23,CAASPP,ELA,2486.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2013546,2022-23,CAASPP,ELA,2424.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2013610,2022-23,CAASPP,ELA,2503.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2014175,2022-23,CAASPP,ELA,2478.0,Longfellow Arts and Technology Middle,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2014279,2022-23,CAASPP,ELA,2444.0,Longfellow Arts and Technology Middle,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2014299,2022-23,CAASPP,ELA,559.0,Longfellow Arts and Technology Middle,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
