metric,stepup_students,non_stepup_students,all_students
star_reading_2022_23,158,212,370
star_math_2022_23,146,192,338
star_reading_2023_24,154,220,374
star_math_2023_24,125,144,269
star_reading_2024_25,119,1389,1508
star_math_2024_25,119,1518,1637
star_reading_all_3_years,100,127,227
star_math_all_3_years,84,84,168
star_reading_and_math_all_3_years,84,84,168
attendance_2023_24,170,251,421
attendance_2024_25,119,1570,1689
attendance_available_all_available_years,111,162,273
caaspp_ela_2022_23,151,199,350
caaspp_math_2022_23,151,199,350
caaspp_ela_likely_2023_24,141,562,703
caaspp_math_likely_2023_24,135,534,669
caaspp_both_subjects_two_sets,107,134,241
strict_available_core,62,64,126
strict_3yr_all_measures_including_attendance_caaspp,0,0,0
