student_id,school_year,season,assessment,subject,value_type,value,school,grade_num,source_file,year_confidence
2017642,2022-23,Fall,STAR,Reading,score,864.0,Sylvia Mendez Elementary School,4.0,base_data.xlsx,High
2015837,2022-23,Fall,STAR,Reading,score,934.0,Sylvia Mendez Elementary School,5.0,base_data.xlsx,High
2016172,2022-23,Fall,STAR,Reading,score,998.0,Sylvia Mendez Elementary School,5.0,base_data.xlsx,High
2018035,2022-23,Fall,STAR,Reading,score,875.0,Sylvia Mendez Elementary School,4.0,base_data.xlsx,High
2017998,2022-23,Fall,STAR,Reading,score,787.0,Sylvia Mendez Elementary School,4.0,base_data.xlsx,High
2016334,2022-23,Fall,STAR,Reading,score,949.0,Sylvia Mendez Elementary School,5.0,base_data.xlsx,High
2014632,2022-23,Fall,STAR,Reading,score,950.0,Sylvia Mendez Elementary School,5.0,base_data.xlsx,High
2017621,2022-23,Fall,STAR,Reading,score,973.0,Sylvia Mendez Elementary School,4.0,base_data.xlsx,High
2017548,2022-23,Fall,STAR,Reading,score,935.0,Sylvia Mendez Elementary School,4.0,base_data.xlsx,High
2017892,2022-23,Fall,STAR,Reading,score,971.0,Sylvia Mendez Elementary School,4.0,base_data.xlsx,High
2016019,2022-23,Fall,STAR,Reading,score,1029.0,Sylvia Mendez Elementary School,4.0,base_data.xlsx,High
2016590,2022-23,Fall,STAR,Reading,score,931.0,Sylvia Mendez Elementary School,4.0,base_data.xlsx,High
2017728,2022-23,Fall,STAR,Reading,score,916.0,Sylvia Mendez Elementary School,4.0,base_data.xlsx,High
2016040,2022-23,Fall,STAR,Reading,score,961.0,Sylvia Mendez Elementary School,4.0,base_data.xlsx,High
2013856,2022-23,Fall,STAR,Reading,score,881.0,Oxford Elementary School,5.0,base_data.xlsx,High
2021356,2022-23,Fall,STAR,Reading,score,1041.0,Berkeley High School,9.0,base_data.xlsx,High
2013207,2022-23,Fall,STAR,Reading,score,1015.0,Martin Luther King Middle School,7.0,base_data.xlsx,High
2018933,2022-23,Fall,STAR,Reading,score,938.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2010991,2022-23,Fall,STAR,Reading,score,1082.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2016535,2022-23,Fall,STAR,Reading,score,964.0,Cragmont Elementary School,5.0,base_data.xlsx,High
2009815,2022-23,Fall,STAR,Reading,score,950.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2014877,2022-23,Fall,STAR,Reading,score,1029.0,Martin Luther King Middle School,6.0,base_data.xlsx,High
2011093,2022-23,Fall,STAR,Reading,score,1085.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2018743,2022-23,Fall,STAR,Reading,score,1032.0,Martin Luther King Middle School,7.0,base_data.xlsx,High
2009813,2022-23,Fall,STAR,Reading,score,1020.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2020616,2022-23,Fall,STAR,Reading,score,942.0,Willard Middle School,8.0,base_data.xlsx,High
2014674,2022-23,Fall,STAR,Reading,score,615.0,Berkeley Arts Magnet Elementary School,5.0,base_data.xlsx,High
2009520,2022-23,Fall,STAR,Reading,score,942.0,Berkeley High School,9.0,base_data.xlsx,High
2012619,2022-23,Fall,STAR,Reading,score,971.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2011949,2022-23,Fall,STAR,Reading,score,761.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2017965,2022-23,Fall,STAR,Reading,score,615.0,Malcolm X Elementary School,4.0,base_data.xlsx,High
2018773,2022-23,Fall,STAR,Reading,score,895.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2021374,2022-23,Fall,STAR,Reading,score,615.0,Cragmont Elementary School,4.0,base_data.xlsx,High
2020554,2022-23,Fall,STAR,Reading,score,615.0,Washington Elementary School,4.0,base_data.xlsx,High
2020556,2022-23,Fall,STAR,Reading,score,983.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2021129,2022-23,Fall,STAR,Reading,score,1028.0,Willard Middle School,8.0,base_data.xlsx,High
2018334,2022-23,Fall,STAR,Reading,score,934.0,Cragmont Elementary School,4.0,base_data.xlsx,High
2015643,2022-23,Fall,STAR,Reading,score,996.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2022619,2022-23,Fall,STAR,Reading,score,879.0,Willard Middle School,7.0,base_data.xlsx,High
2015428,2022-23,Fall,STAR,Reading,score,746.0,Oxford Elementary School,5.0,base_data.xlsx,High
2011896,2022-23,Fall,STAR,Reading,score,871.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2010221,2022-23,Fall,STAR,Reading,score,1008.0,Berkeley High School,9.0,base_data.xlsx,High
2015020,2022-23,Fall,STAR,Reading,score,1090.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2011751,2022-23,Fall,STAR,Reading,score,1036.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2014704,2022-23,Fall,STAR,Reading,score,861.0,John Muir Elementary School,5.0,base_data.xlsx,High
2011761,2022-23,Fall,STAR,Reading,score,972.0,Martin Luther King Middle School,7.0,base_data.xlsx,High
2015875,2022-23,Fall,STAR,Reading,score,863.0,Berkeley Arts Magnet Elementary School,5.0,base_data.xlsx,High
2012655,2022-23,Fall,STAR,Reading,score,1028.0,Martin Luther King Middle School,7.0,base_data.xlsx,High
2013329,2022-23,Fall,STAR,Reading,score,934.0,Martin Luther King Middle School,7.0,base_data.xlsx,High
2011935,2022-23,Fall,STAR,Reading,score,966.0,Willard Middle School,8.0,base_data.xlsx,High
2021303,2022-23,Fall,STAR,Reading,score,993.0,Berkeley High School,9.0,base_data.xlsx,High
2016787,2022-23,Fall,STAR,Reading,score,990.0,Washington Elementary School,5.0,base_data.xlsx,High
2022452,2022-23,Fall,STAR,Reading,score,957.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2015896,2022-23,Fall,STAR,Reading,score,862.0,Berkeley Arts Magnet Elementary School,4.0,base_data.xlsx,High
2012293,2022-23,Fall,STAR,Reading,score,1005.0,Willard Middle School,8.0,base_data.xlsx,High
2021207,2022-23,Fall,STAR,Reading,score,995.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2007058,2022-23,Fall,STAR,Reading,score,1055.0,Berkeley High School,9.0,base_data.xlsx,High
2012995,2022-23,Fall,STAR,Reading,score,1019.0,Willard Middle School,7.0,base_data.xlsx,High
2013295,2022-23,Fall,STAR,Reading,score,1016.0,Longfellow Arts and Technology Middle,6.0,base_data.xlsx,High
2011858,2022-23,Fall,STAR,Reading,score,1046.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2011889,2022-23,Fall,STAR,Reading,score,1054.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2011767,2022-23,Fall,STAR,Reading,score,1078.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2015959,2022-23,Fall,STAR,Reading,score,938.0,Washington Elementary School,5.0,base_data.xlsx,High
2021967,2022-23,Fall,STAR,Reading,score,1005.0,Berkeley High School,9.0,base_data.xlsx,High
2012274,2022-23,Fall,STAR,Reading,score,1017.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2011768,2022-23,Fall,STAR,Reading,score,1000.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2010045,2022-23,Fall,STAR,Reading,score,939.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2018368,2022-23,Fall,STAR,Reading,score,943.0,Willard Middle School,7.0,base_data.xlsx,High
2011777,2022-23,Fall,STAR,Reading,score,908.0,Martin Luther King Middle School,7.0,base_data.xlsx,High
2021072,2022-23,Fall,STAR,Reading,score,955.0,Longfellow Arts and Technology Middle,6.0,base_data.xlsx,High
2009428,2022-23,Fall,STAR,Reading,score,990.0,Willard Middle School,8.0,base_data.xlsx,High
2022589,2022-23,Fall,STAR,Reading,score,917.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2015378,2022-23,Fall,STAR,Reading,score,1042.0,Willard Middle School,6.0,base_data.xlsx,High
